"Category";"Meldingen";"Meldingen per 100.000";"Zkh opname";"Zkh opname per 100.000";"Overleden";"Overleden per 100.000"
"Velsen";219;319;28;40.8;23;33.5
"Venlo";241;236.7;118;115.9;48;47.2
"Venray";91;208.7;36;82.6;16;36.7
"Vijfheerenlanden";177;311.5;27;47.5;31;54.6
"Vlaardingen";165;224.7;30;40.8;14;19.1
"Vlieland";0;0;0;0;0;0
"Vlissingen";45;101.4;8;18;4;9
"Voerendaal";35;280.7;16;128.3;6;48.1
"Voorschoten";28;109.4;9;35.2;4;15.6
"Voorst";49;199.6;11;44.8;7;28.5
"Vught";86;323.9;37;139.3;15;56.5
"Waadhoeke";73;158.4;9;19.5;6;13
"Waalre";24;137.5;6;34.4;4;22.9
"Waalwijk";115;236.5;23;47.3;24;49.4
"Waddinxveen";40;136.6;13;44.4;5;17.1
"Wageningen";39;98.3;17;42.9;8;20.2
"Wassenaar";37;141.1;8;30.5;9;34.3
"Waterland";25;143.5;14;80.4;2;11.5
"Weert";103;205.6;57;113.8;10;20
"Weesp";33;167.3;9;45.6;1;5.1
"West Betuwe";131;255.9;38;74.2;13;25.4
"West Maas en Waal";67;346.8;15;77.6;5;25.9
"Westerkwartier";53;83.6;14;22.1;4;6.3
"Westerveld";28;143.9;8;41.1;2;10.3
"Westervoort";27;180.3;10;66.8;2;13.4
"Westerwolde";5;19.4;5;19.4;0;0
"Westland";203;183.9;48;43.5;21;19
"Weststellingwerf";21;81;2;7.7;2;7.7
"Westvoorne";22;149.4;6;40.7;0;0
"Wierden";37;151.4;4;16.4;3;12.3
"Wijchen";113;274.8;38;92.4;7;17
"Wijdemeren";21;86.2;7;28.7;0;0
"Wijk bij Duurstede";25;104.6;8;33.5;1;4.2
"Winterswijk";25;86.6;3;10.4;1;3.5
"Woensdrecht";43;196.5;4;18.3;0;0
"Woerden";118;225.6;46;88;14;26.8
"Wormerland";32;196.3;16;98.2;6;36.8
"Woudenberg";22;164.6;9;67.4;1;7.5
"Zaanstad";272;173.6;101;64.4;35;22.3
"Zaltbommel";55;190.3;18;62.3;4;13.8
"Zandvoort";29;169.4;10;58.4;6;35.1
"Zeewolde";26;114.8;8;35.3;3;13.2
"Zeist";107;164.8;31;47.7;12;18.5
"Zevenaar";77;176;41;93.7;10;22.9
"Zoetermeer";138;110.2;38;30.3;9;7.2
"Zoeterwoude";7;81.3;2;23.2;0;0
"Zuidplas";95;216.4;19;43.3;5;11.4
"Zundert";56;256.6;19;87.1;8;36.7
"Zutphen";54;112.6;18;37.5;8;16.7
"Zwartewaterland";116;511.2;31;136.6;12;52.9
"Zwijndrecht";93;207.9;14;31.3;5;11.2
"Zwolle";282;218.9;52;40.4;33;25.6
